Name,Category,Description,Price
Phulka,Main Course,Serves 1,40.0
Butter Naan (1pc),Main Course,Serves 1,65.0
Madras Murukulu (200 gms),Quick Bites,No description,110.0
Boondi Mixture (200 gms),Quick Bites,No description,100.0
Egg Puff ,Quick Bites,No description,35.0
Veg Puff ,Quick Bites,No description,35.0
Mushroom Biryani,Main Course,1000 ml,372.0
Chicken Tikka Biryani  [1000 Ml],Main Course,No description,455.0
Ulavachara Chicken Biryani,Main Course,Serves 1,448.0
Prawns Biryani  [750 Ml],Main Course,No description,455.0
Fish Biryani,Main Course,No description,466.0
Curd Rice,Main Course,500 ml,160.0
Gulla Mysor Pak,Desserts,No description,170.0
Ajmer Kalakand,Desserts,4 pieces,170.0
Sunnandalu,Desserts,No description,155.0
Chandra Kala,Desserts,No description,170.0
Badam Milk  {240 Ml },Desserts,serves1,65.0
Rasamalai (2 Peace),Desserts,A decadent and indulgent dessert made by soaking melt-in-the-mouth cottage cheese in a sweet and creamy rabri.,100.0
Cashew+Kova Mixed Sweets,Diwali Speacials,Serves 1,500.0
Cashew Mixed Sweets 1kg,Diwali Speacials,Serves 1,1300.0
Cashew Mixed Sweets,Diwali Speacials,Serves 1,325.0
Kova Mixed Sweets 1 Kg,Diwali Speacials,Serves 1,700.0
Kova Mixed Sweets,Diwali Speacials,Serves 1,175.0
3 Phulka With Boneless Chicken Curry,Combos,No description,269.0
White Rice With Boneless Chicken Curry,Combos,No description,289.0
White Rice With Egg Curry (2 Eggs),Combos,Serves 1,213.0
Muddapappu Avakai Rice With Curd Rice,Combos,750 ml | Muddapappu avakai rice with curd rice,220.0
Sambar Rice With Curd Rice,Combos,750 ml | Sambar rice with curd rice,224.0
Sambar Rice With Chicken 65,Combos,No description,325.0
3 Phulka With Mix Veg Curry,Combos,No description,228.0
White Rice,Meal,Serves 1 | White rice,120.0
Andhra Meals,Meal,Dal + pulusukoora + eguru + fry + roti chetni + rasam + sambar + appadam + sweet + ulavacharu + complimentary rice + white rice and curd.,277.0
Ordinary 1kg Cake,Cold Cakes & Ordinary Cakes,No description,400.0
Ordinary Cake Half Kg,Cold Cakes & Ordinary Cakes,No description,200.0
Cold Venilla Half Kg,Cold Cakes & Ordinary Cakes,No description,400.0
Cold Butter Scotch Half Kg,Cold Cakes & Ordinary Cakes,No description,400.0
1kg Cold Blackforest Cake,Cold Cakes & Ordinary Cakes,No description,900.0
Cold Bl.forest Half Kg,Cold Cakes & Ordinary Cakes,No description,500.0
1 Kg Cold Venilla Cake,Cold Cakes & Ordinary Cakes,No description,700.0
1 Kg Cold Butterscotch Cake,Cold Cakes & Ordinary Cakes,No description,700.0
1 Kg Ordinary Chocolate Cake,Cold Cakes & Ordinary Cakes,No description,520.0
Half Kg Ordinary Chocolate Cake,Cold Cakes & Ordinary Cakes,No description,270.0
Natukodi Pulusuu,Today Specials,No description,493.0
Raagi Sangati,Today Specials,No description,176.0
Chicken Joint Biryani,Today Specials,No description,428.0
Veg Corn Soup,Veg & Non Veg Soups,No description,166.0
Veg Hot & Soup Soup,Veg & Non Veg Soups,No description,166.0
VEG MANCHOW SOUP,Veg & Non Veg Soups,No description,166.0
Chicken Hot & Soup Soup,Veg & Non Veg Soups,No description,202.0
CHICKEN MANCHOW SOUP,Veg & Non Veg Soups,No description,202.0
Chicken Corn Soup,Veg & Non Veg Soups,No description,202.0
